Timestamp,Event,Status,Gaze_Direction,Timer_Duration
12:21:45.456,STATUS_CHANGE,Initializing...,Blinking,
12:21:45.486,GAZE_CHANGE,Initializing...,Center,
12:21:45.985,STATUS_CHANGE,READING,Center,
12:25:25.352,TIMER_START,READING,Right,0.0
12:25:25.352,GAZE_CHANGE,READING,Right,
12:25:25.382,GAZE_CHANGE,READING,Center,
12:25:25.399,GAZE_CHANGE,READING,Right,
12:25:25.455,GAZE_CHANGE,READING,Center,
12:25:25.521,GAZE_CHANGE,READING,Right,
12:25:25.709,GAZE_CHANGE,READING,Center,
12:25:26.000,GAZE_CHANGE,READING,Right,
12:25:26.142,GAZE_CHANGE,READING,Center,
12:25:26.182,GAZE_CHANGE,READING,Right,
12:25:26.191,GAZE_CHANGE,READING,Center,
12:25:26.224,GAZE_CHANGE,READING,Right,
12:25:26.442,GAZE_CHANGE,READING,Down,
12:25:26.475,GAZE_CHANGE,READING,Right,
12:25:26.496,GAZE_CHANGE,READING,Center,
12:25:27.023,TIMER_STOP,READING,Center,1.67
12:30:52.942,TIMER_START,READING,Right,0.0
12:30:52.942,GAZE_CHANGE,READING,Right,
12:30:53.815,GAZE_CHANGE,READING,Center,
12:30:54.339,TIMER_STOP,READING,Blinking,1.40
12:35:47.329,TIMER_START,READING,Right,0.0
12:35:47.329,GAZE_CHANGE,READING,Right,
12:35:47.983,STATUS_CHANGE,NO READER,Right,
12:35:49.149,GAZE_CHANGE,NO READER,Down,
12:35:50.033,TIMER_STOP,NO READER,Blinking,2.70
12:35:50.033,STATUS_CHANGE,READING,Blinking,
12:35:50.336,GAZE_CHANGE,READING,Center,
12:35:50.672,TIMER_START,READING,Left,0.0
12:35:50.672,GAZE_CHANGE,READING,Left,
12:35:50.704,GAZE_CHANGE,READING,Center,
12:35:50.753,GAZE_CHANGE,READING,Left,
12:35:50.853,GAZE_CHANGE,READING,Center,
12:35:50.953,GAZE_CHANGE,READING,Left,
12:35:50.961,GAZE_CHANGE,READING,Center,
12:35:51.503,TIMER_STOP,READING,Center,0.83
12:35:53.152,TIMER_START,READING,Left,0.0
12:35:53.152,GAZE_CHANGE,READING,Left,
12:35:53.211,GAZE_CHANGE,READING,Center,
12:35:53.734,TIMER_STOP,READING,Blinking,0.58
12:35:53.847,TIMER_START,READING,Right,0.0
12:35:53.847,GAZE_CHANGE,READING,Right,
12:35:56.857,STATUS_CHANGE,STOPPED READING,Right,
12:35:57.696,GAZE_CHANGE,STOPPED READING,Down,
12:35:57.728,GAZE_CHANGE,STOPPED READING,Right,
12:35:58.439,GAZE_CHANGE,STOPPED READING,Center,
12:35:58.946,TIMER_STOP,STOPPED READING,Blinking,5.10
12:35:58.946,STATUS_CHANGE,READING,Blinking,
12:36:00.144,TIMER_START,READING,Right,0.0
12:36:00.144,GAZE_CHANGE,READING,Right,
12:36:01.278,TIMER_STOP,READING,Blinking,1.13
12:36:01.568,GAZE_CHANGE,READING,Center,
12:36:02.958,TIMER_START,READING,Left,0.0
12:36:02.958,GAZE_CHANGE,READING,Left,
12:36:02.986,GAZE_CHANGE,READING,Center,
12:36:03.508,TIMER_STOP,READING,Center,0.55
