Timestamp,Event,Status,Gaze_Direction,Timer_Duration
12:45:22.396,STATUS_CHANGE,Initializing...,Center,
12:45:22.396,GAZE_CHANGE,Initializing...,Center,
12:45:22.904,STATUS_CHANGE,READING,Center,
12:45:23.730,TIMER_START,READING,Up,0.0
12:45:23.730,GAZE_CHANGE,READING,Up,
12:45:23.764,GAZE_CHANGE,READING,Center,
12:45:24.272,TIMER_STOP,READING,Center,0.54
12:45:26.407,TIMER_START,READING,Down,0.0
12:45:26.407,GAZE_CHANGE,READING,Down,
12:45:26.454,GAZE_CHANGE,READING,Center,
12:45:26.956,GAZE_CHANGE,READING,Down,
12:45:26.987,GAZE_CHANGE,READING,Center,
12:45:27.495,TIMER_STOP,READING,Center,1.09
12:45:40.585,TIMER_START,READING,Down,0.0
12:45:40.585,GAZE_CHANGE,READING,Down,
12:45:40.647,GAZE_CHANGE,READING,Center,
12:45:40.683,GAZE_CHANGE,READING,Down,
12:45:40.886,GAZE_CHANGE,READING,Center,
12:45:41.408,TIMER_STOP,READING,Center,0.82
12:45:44.953,TIMER_START,READING,Down,0.0
12:45:44.953,GAZE_CHANGE,READING,Down,
12:45:45.039,GAZE_CHANGE,READING,Center,
12:45:45.253,GAZE_CHANGE,READING,Down,
12:45:45.442,GAZE_CHANGE,READING,Center,
12:45:45.514,GAZE_CHANGE,READING,Down,
12:45:45.549,GAZE_CHANGE,READING,Center,
12:45:45.576,GAZE_CHANGE,READING,Down,
12:45:45.678,GAZE_CHANGE,READING,Center,
12:45:45.710,GAZE_CHANGE,READING,Down,
12:45:45.856,GAZE_CHANGE,READING,Center,
12:45:45.879,GAZE_CHANGE,READING,Down,
12:45:45.904,GAZE_CHANGE,READING,Center,
12:45:45.973,GAZE_CHANGE,READING,Down,
12:45:46.004,GAZE_CHANGE,READING,Center,
12:45:46.192,GAZE_CHANGE,READING,Down,
12:45:46.224,GAZE_CHANGE,READING,Center,
12:45:46.756,TIMER_STOP,READING,Center,1.80
12:45:47.331,TIMER_START,READING,Down,0.0
12:45:47.331,GAZE_CHANGE,READING,Down,
12:45:47.418,GAZE_CHANGE,READING,Center,
12:45:47.927,TIMER_STOP,READING,Center,0.60
12:45:50.480,TIMER_START,READING,Down,0.0
12:45:50.480,GAZE_CHANGE,READING,Down,
12:45:50.503,GAZE_CHANGE,READING,Center,
12:45:50.727,GAZE_CHANGE,READING,Down,
12:45:50.889,GAZE_CHANGE,READING,Center,
12:45:51.093,GAZE_CHANGE,READING,Down,
12:45:51.285,GAZE_CHANGE,READING,Center,
12:45:51.827,TIMER_STOP,READING,Center,1.35
12:45:56.845,TIMER_START,READING,Down,0.0
12:45:56.845,GAZE_CHANGE,READING,Down,
12:45:57.044,GAZE_CHANGE,READING,Center,
12:45:57.590,TIMER_STOP,READING,Center,0.74
12:45:59.397,TIMER_START,READING,Right,0.0
