Timestamp,Event,Status,Gaze_Direction,Timer_Duration
09:50:20.158,STATUS_CHANGE,Initializing...,Blinking,
09:50:20.439,GAZE_CHANGE,Initializing...,Center,
09:50:20.636,TIMER_START,Initializing...,Up,0.0
09:50:20.636,GAZE_CHANGE,Initializing...,Up,
09:50:21.403,GAZE_CHANGE,Initializing...,Center,
09:50:21.905,TIMER_STOP,Initializing...,Center,1.27
09:50:21.905,STATUS_CHANGE,READING,Center,
09:50:23.097,TIMER_START,READING,Right,0.0
09:50:23.112,GAZE_CHANGE,READING,Right,
09:50:23.191,GAZE_CHANGE,READING,Center,
09:50:23.223,GAZE_CHANGE,READING,Right,
09:50:23.572,GAZE_CHANGE,READING,Center,
09:50:23.598,GAZE_CHANGE,READING,Right,
09:50:23.635,GAZE_CHANGE,READING,Center,
09:50:23.721,GAZE_CHANGE,READING,Right,
09:50:23.758,GAZE_CHANGE,READING,Down,
09:50:23.850,GAZE_CHANGE,READING,Center,
09:50:23.874,GAZE_CHANGE,READING,Down,
09:50:24.120,GAZE_CHANGE,READING,Center,
09:50:24.265,GAZE_CHANGE,READING,Right,
09:50:25.468,STATUS_CHANGE,NO READER,Up,
09:50:25.468,GAZE_CHANGE,NO READER,Up,
09:50:25.511,GAZE_CHANGE,NO READER,Down,
09:50:25.539,GAZE_CHANGE,NO READER,Right,
09:50:25.706,GAZE_CHANGE,NO READER,Center,
09:50:25.737,GAZE_CHANGE,NO READER,Right,
09:50:26.126,STATUS_CHANGE,STOPPED READING,Right,
09:50:26.276,GAZE_CHANGE,STOPPED READING,Down,
09:50:26.305,GAZE_CHANGE,STOPPED READING,Right,
09:50:26.347,GAZE_CHANGE,STOPPED READING,Down,
09:50:26.384,GAZE_CHANGE,STOPPED READING,Right,
09:50:27.050,TIMER_STOP,STOPPED READING,Blinking,3.95
09:50:27.050,STATUS_CHANGE,READING,Blinking,
09:50:27.108,GAZE_CHANGE,READING,Center,
09:51:11.476,TIMER_START,READING,Up,0.0
09:51:11.476,GAZE_CHANGE,READING,Up,
09:51:11.617,GAZE_CHANGE,READING,Center,
09:51:11.683,GAZE_CHANGE,READING,Up,
09:51:11.732,GAZE_CHANGE,READING,Center,
09:51:11.760,GAZE_CHANGE,READING,Up,
09:51:11.795,GAZE_CHANGE,READING,Center,
09:51:12.325,TIMER_STOP,READING,Center,0.85
09:51:18.270,TIMER_START,READING,Up,0.0
09:51:18.270,GAZE_CHANGE,READING,Up,
09:51:18.301,GAZE_CHANGE,READING,Center,
09:51:18.337,GAZE_CHANGE,READING,Up,
09:51:18.399,GAZE_CHANGE,READING,Center,
09:51:18.448,GAZE_CHANGE,READING,Up,
09:51:18.480,GAZE_CHANGE,READING,Center,
09:51:19.003,TIMER_STOP,READING,Center,0.73
09:51:28.801,TIMER_START,READING,Left,0.0
09:51:28.801,GAZE_CHANGE,READING,Left,
09:51:28.865,GAZE_CHANGE,READING,Center,
09:51:28.894,GAZE_CHANGE,READING,Left,
09:51:28.956,GAZE_CHANGE,READING,Center,
09:51:28.991,GAZE_CHANGE,READING,Left,
09:51:29.594,GAZE_CHANGE,READING,Center,
09:51:29.847,TIMER_STOP,READING,Center,1.05
09:51:30.037,TIMER_START,READING,Up,0.0
09:51:30.037,GAZE_CHANGE,READING,Up,
09:51:30.077,GAZE_CHANGE,READING,Center,
09:51:30.587,TIMER_STOP,READING,Center,0.55
09:51:30.732,TIMER_START,READING,Right,0.0
09:51:30.732,GAZE_CHANGE,READING,Right,
09:51:31.118,GAZE_CHANGE,READING,Center,
09:51:31.143,GAZE_CHANGE,READING,Up,
09:51:31.317,GAZE_CHANGE,READING,Center,
09:51:31.820,TIMER_STOP,READING,Blinking,1.09
09:51:34.583,TIMER_START,READING,Up,0.0
09:51:34.583,GAZE_CHANGE,READING,Up,
09:51:34.597,GAZE_CHANGE,READING,Center,
09:51:35.140,TIMER_STOP,READING,Center,0.56
09:51:55.339,TIMER_START,READING,Up,0.0
09:51:55.339,GAZE_CHANGE,READING,Up,
09:51:55.383,GAZE_CHANGE,READING,Center,
09:51:55.901,TIMER_STOP,READING,Center,0.56
09:52:23.385,TIMER_START,READING,Up,0.0
09:52:23.385,GAZE_CHANGE,READING,Up,
09:52:23.487,GAZE_CHANGE,READING,Center,
09:52:23.532,GAZE_CHANGE,READING,Up,
09:52:23.681,GAZE_CHANGE,READING,Center,
09:52:24.188,TIMER_STOP,READING,Center,0.80
09:52:24.293,TIMER_START,READING,Up,0.0
09:52:24.293,GAZE_CHANGE,READING,Up,
09:52:24.321,GAZE_CHANGE,READING,Center,
09:52:24.347,GAZE_CHANGE,READING,Up,
09:52:24.420,GAZE_CHANGE,READING,Center,
09:52:24.579,GAZE_CHANGE,READING,Up,
09:52:24.723,GAZE_CHANGE,READING,Center,
09:52:24.753,GAZE_CHANGE,READING,Up,
09:52:24.850,GAZE_CHANGE,READING,Center,
09:52:25.404,TIMER_STOP,READING,Blinking,1.11
09:52:37.355,TIMER_START,READING,Up,0.0
09:52:37.357,GAZE_CHANGE,READING,Up,
09:52:37.390,GAZE_CHANGE,READING,Center,
09:52:37.892,TIMER_STOP,READING,Center,0.54
09:52:56.648,TIMER_START,READING,Down,0.0
09:52:56.648,GAZE_CHANGE,READING,Down,
09:52:56.950,GAZE_CHANGE,READING,Center,
09:52:57.050,GAZE_CHANGE,READING,Down,
09:52:57.063,GAZE_CHANGE,READING,Center,
09:52:57.564,TIMER_STOP,READING,Center,0.92
09:53:22.236,TIMER_START,READING,Up,0.0
09:53:22.236,GAZE_CHANGE,READING,Up,
09:53:22.359,GAZE_CHANGE,READING,Center,
09:53:22.883,TIMER_STOP,READING,Center,0.65
09:53:25.989,TIMER_START,READING,Up,0.0
09:53:25.989,GAZE_CHANGE,READING,Up,
09:53:26.203,GAZE_CHANGE,READING,Center,
