Timestamp,Event,Status,Gaze_Direction,Timer_Duration
11:40:08.714,STATUS_CHANGE,Initializing...,Center,
11:40:08.714,GAZE_CHANGE,Initializing...,Center,
11:40:09.226,STATUS_CHANGE,READING,Blinking,
11:44:31.223,TIMER_START,READING,Up,0.0
11:44:31.223,GAZE_CHANGE,READING,Up,
11:44:31.763,GAZE_CHANGE,READING,Center,
11:44:32.017,GAZE_CHANGE,READING,Up,
11:44:32.115,GAZE_CHANGE,READING,Center,
11:44:32.149,GAZE_CHANGE,READING,Up,
11:44:32.334,GAZE_CHANGE,READING,Center,
11:44:32.428,GAZE_CHANGE,READING,Up,
11:44:32.601,GAZE_CHANGE,READING,Center,
11:44:32.817,GAZE_CHANGE,READING,Up,
11:44:32.843,GAZE_CHANGE,READING,Center,
11:44:33.029,GAZE_CHANGE,READING,Up,
11:44:33.139,GAZE_CHANGE,READING,Center,
11:44:33.247,GAZE_CHANGE,READING,Up,
11:44:33.281,GAZE_CHANGE,READING,Center,
11:44:33.315,GAZE_CHANGE,READING,Up,
11:44:33.443,GAZE_CHANGE,READING,Center,
11:44:33.854,GAZE_CHANGE,READING,Up,
11:44:33.958,GAZE_CHANGE,READING,Center,
11:44:34.068,GAZE_CHANGE,READING,Up,
11:44:34.199,GAZE_CHANGE,READING,Center,
11:44:34.697,TIMER_STOP,READING,Center,3.47
11:48:15.818,TIMER_START,READING,Left,0.0
11:48:15.818,GAZE_CHANGE,READING,Left,
11:48:16.122,GAZE_CHANGE,READING,Center,
11:48:16.535,TIMER_STOP,READING,Center,0.72
11:48:20.590,TIMER_START,READING,Up,0.0
11:48:20.590,GAZE_CHANGE,READING,Up,
11:48:20.624,GAZE_CHANGE,READING,Center,
11:48:20.653,GAZE_CHANGE,READING,Up,
11:48:20.783,GAZE_CHANGE,READING,Center,
11:48:21.256,TIMER_STOP,READING,Center,0.67
11:48:21.315,TIMER_START,READING,Up,0.0
11:48:21.315,GAZE_CHANGE,READING,Up,
11:48:21.383,GAZE_CHANGE,READING,Center,
11:48:21.860,GAZE_CHANGE,READING,Up,
11:48:21.937,GAZE_CHANGE,READING,Center,
11:48:22.024,GAZE_CHANGE,READING,Up,
11:48:22.034,GAZE_CHANGE,READING,Center,
11:48:22.535,TIMER_STOP,READING,Blinking,1.22
11:49:03.743,TIMER_START,READING,Up,0.0
11:49:03.743,GAZE_CHANGE,READING,Up,
11:49:04.251,GAZE_CHANGE,READING,Center,
11:49:04.281,GAZE_CHANGE,READING,Up,
11:49:04.339,GAZE_CHANGE,READING,Center,
11:49:04.350,GAZE_CHANGE,READING,Up,
11:49:04.550,GAZE_CHANGE,READING,Center,
11:49:04.931,TIMER_STOP,READING,Center,1.19
11:49:32.893,TIMER_START,READING,Up,0.0
11:49:32.893,GAZE_CHANGE,READING,Up,
11:49:33.475,GAZE_CHANGE,READING,Center,
11:49:33.525,TIMER_STOP,READING,Blinking,0.63
11:49:37.255,TIMER_START,READING,Up,0.0
11:49:37.255,GAZE_CHANGE,READING,Up,
11:49:37.310,GAZE_CHANGE,READING,Center,
11:49:37.784,TIMER_STOP,READING,Blinking,0.53
