Timestamp,Event,Status,Gaze_Direction,Timer_Duration
10:37:33.447,STATUS_CHANGE,Initializing...,Blinking,
10:37:33.977,STATUS_CHANGE,READING,Blinking,
10:37:34.249,GAZE_CHANGE,READING,Center,
10:37:35.267,TIMER_START,READING,Up,0.0
10:37:35.267,GAZE_CHANGE,READING,Up,
10:37:35.379,GAZE_CHANGE,READING,Center,
10:37:35.903,TIMER_STOP,READING,Center,0.64
10:37:41.953,TIMER_START,READING,Right,0.0
10:37:41.953,GAZE_CHANGE,READING,Right,
10:37:42.118,GAZE_CHANGE,READING,Center,
10:37:42.158,GAZE_CHANGE,READING,Up,
10:37:42.182,GAZE_CHANGE,READING,Right,
10:37:42.805,TIMER_STOP,READING,Blinking,0.85
10:37:45.234,GAZE_CHANGE,READING,Center,
10:38:05.335,TIMER_START,READING,Up,0.0
10:38:05.335,GAZE_CHANGE,READING,Up,
10:38:05.426,GAZE_CHANGE,READING,Center,
10:38:05.937,TIMER_STOP,READING,Blinking,0.60
10:38:19.973,TIMER_START,READING,Up,0.0
10:38:19.975,GAZE_CHANGE,READING,Up,
10:38:20.536,TIMER_STOP,READING,Blinking,0.56
10:38:21.903,GAZE_CHANGE,READING,Center,
10:38:33.896,TIMER_START,READING,Up,0.0
10:38:33.896,GAZE_CHANGE,READING,Up,
10:38:34.050,GAZE_CHANGE,READING,Center,
10:38:34.162,GAZE_CHANGE,READING,Up,
10:38:34.856,TIMER_STOP,READING,Blinking,0.96
10:38:39.620,GAZE_CHANGE,READING,Center,
10:39:39.042,TIMER_START,READING,Up,0.0
10:39:39.042,GAZE_CHANGE,READING,Up,
10:39:39.075,GAZE_CHANGE,READING,Center,
10:39:39.595,TIMER_STOP,READING,Blinking,0.55
10:39:46.219,TIMER_START,READING,Up,0.0
10:39:46.219,GAZE_CHANGE,READING,Up,
10:39:46.248,GAZE_CHANGE,READING,Center,
10:39:46.771,TIMER_STOP,READING,Blinking,0.55
10:40:53.441,TIMER_START,READING,Up,0.0
10:40:53.441,GAZE_CHANGE,READING,Up,
10:40:53.522,GAZE_CHANGE,READING,Center,
10:40:53.568,GAZE_CHANGE,READING,Up,
10:40:53.592,GAZE_CHANGE,READING,Center,
10:40:53.783,GAZE_CHANGE,READING,Up,
10:40:53.815,GAZE_CHANGE,READING,Center,
10:40:53.841,GAZE_CHANGE,READING,Up,
10:40:54.379,TIMER_STOP,READING,Blinking,0.94
10:40:57.136,GAZE_CHANGE,READING,Center,
