Timestamp,Event,Status,Gaze_Direction,Timer_Duration
16:19:52.988,TIMER_START,Initializing...,Down,0.0
16:19:52.988,STATUS_CHANGE,Initializing...,Down,
16:19:52.988,GAZE_CHANGE,Initializing...,Down,
16:19:53.041,GAZE_CHANGE,Initializing...,Left,
16:19:53.053,GAZE_CHANGE,Initializing...,Down,
16:19:53.745,TIMER_STOP,Initializing...,Blinking,0.76
16:19:53.745,STATUS_CHANGE,READING,Blinking,
16:19:54.246,GAZE_CHANGE,READING,Center,
16:19:57.170,TIMER_START,READING,Left,0.0
16:19:57.170,GAZE_CHANGE,READING,Left,
16:19:57.813,TIMER_STOP,READING,Blinking,0.64
16:19:59.828,GAZE_CHANGE,READING,Center,
16:20:01.011,TIMER_START,READING,Up,0.0
16:20:01.011,GAZE_CHANGE,READING,Up,
16:20:01.412,GAZE_CHANGE,READING,Center,
16:20:01.474,GAZE_CHANGE,READING,Up,
16:20:01.507,GAZE_CHANGE,READING,Center,
16:20:02.018,TIMER_STOP,READING,Center,1.01
16:20:02.450,TIMER_START,READING,Up,0.0
16:20:02.450,GAZE_CHANGE,READING,Up,
16:20:02.516,GAZE_CHANGE,READING,Center,
16:20:03.025,TIMER_STOP,READING,Center,0.58
16:20:03.764,TIMER_START,READING,Right,0.0
16:20:03.764,GAZE_CHANGE,READING,Right,
16:20:03.892,GAZE_CHANGE,READING,Up,
16:20:03.922,GAZE_CHANGE,READING,Right,
16:20:04.130,GAZE_CHANGE,READING,Up,
16:20:04.196,GAZE_CHANGE,READING,Right,
16:20:04.224,GAZE_CHANGE,READING,Up,
16:20:04.256,GAZE_CHANGE,READING,Right,
16:20:04.307,GAZE_CHANGE,READING,Left,
16:20:04.338,GAZE_CHANGE,READING,Center,
16:20:04.372,GAZE_CHANGE,READING,Up,
16:20:04.468,GAZE_CHANGE,READING,Right,
16:20:04.500,GAZE_CHANGE,READING,Up,
16:20:04.562,GAZE_CHANGE,READING,Down,
16:20:04.598,GAZE_CHANGE,READING,Left,
16:20:04.705,GAZE_CHANGE,READING,Center,
16:20:04.740,GAZE_CHANGE,READING,Up,
16:20:04.802,GAZE_CHANGE,READING,Left,
16:20:04.899,GAZE_CHANGE,READING,Center,
16:20:04.932,GAZE_CHANGE,READING,Up,
16:20:04.979,GAZE_CHANGE,READING,Right,
16:20:05.008,GAZE_CHANGE,READING,Left,
16:20:05.037,GAZE_CHANGE,READING,Up,
16:20:05.138,GAZE_CHANGE,READING,Left,
16:20:05.170,GAZE_CHANGE,READING,Up,
16:20:05.202,GAZE_CHANGE,READING,Left,
16:20:05.270,GAZE_CHANGE,READING,Center,
16:20:05.316,GAZE_CHANGE,READING,Right,
16:20:05.412,GAZE_CHANGE,READING,Down,
16:20:05.442,GAZE_CHANGE,READING,Up,
16:20:05.475,GAZE_CHANGE,READING,Right,
16:20:05.508,GAZE_CHANGE,READING,Center,
16:20:05.572,GAZE_CHANGE,READING,Down,
16:20:05.602,GAZE_CHANGE,READING,Left,
16:20:05.844,GAZE_CHANGE,READING,Up,
16:20:05.873,GAZE_CHANGE,READING,Left,
16:20:05.909,GAZE_CHANGE,READING,Up,
16:20:05.939,GAZE_CHANGE,READING,Right,
16:20:06.022,GAZE_CHANGE,READING,Center,
16:20:06.050,GAZE_CHANGE,READING,Right,
16:20:06.083,GAZE_CHANGE,READING,Left,
16:20:06.115,GAZE_CHANGE,READING,Center,
16:20:06.148,GAZE_CHANGE,READING,Left,
16:20:06.214,GAZE_CHANGE,READING,Up,
16:20:06.244,GAZE_CHANGE,READING,Right,
16:20:06.277,GAZE_CHANGE,READING,Left,
16:20:06.453,GAZE_CHANGE,READING,Down,
16:20:06.484,GAZE_CHANGE,READING,Left,
16:20:06.786,STATUS_CHANGE,STOPPED READING,Left,
16:20:07.089,GAZE_CHANGE,STOPPED READING,Up,
16:20:07.121,GAZE_CHANGE,STOPPED READING,Left,
16:20:07.795,GAZE_CHANGE,STOPPED READING,Right,
16:20:07.825,GAZE_CHANGE,STOPPED READING,Up,
16:20:07.857,GAZE_CHANGE,STOPPED READING,Right,
16:20:08.498,GAZE_CHANGE,STOPPED READING,Up,
16:20:08.737,GAZE_CHANGE,STOPPED READING,Right,
16:20:10.387,GAZE_CHANGE,STOPPED READING,Down,
16:20:10.417,GAZE_CHANGE,STOPPED READING,Left,
16:20:10.544,GAZE_CHANGE,STOPPED READING,Center,
16:20:10.606,GAZE_CHANGE,STOPPED READING,Down,
16:20:10.646,GAZE_CHANGE,STOPPED READING,Center,
16:20:11.156,TIMER_STOP,STOPPED READING,Center,7.39
16:20:11.156,STATUS_CHANGE,READING,Center,
16:20:14.482,TIMER_START,READING,Down,0.0
16:20:14.482,GAZE_CHANGE,READING,Down,
16:20:14.612,GAZE_CHANGE,READING,Right,
16:20:14.917,GAZE_CHANGE,READING,Center,
16:20:15.014,GAZE_CHANGE,READING,Down,
16:20:15.081,GAZE_CHANGE,READING,Center,
16:20:15.585,TIMER_STOP,READING,Blinking,1.10
16:20:20.436,TIMER_START,READING,Down,0.0
16:20:20.436,GAZE_CHANGE,READING,Down,
16:20:20.543,GAZE_CHANGE,READING,Center,
16:20:20.580,GAZE_CHANGE,READING,Left,
16:20:21.223,GAZE_CHANGE,READING,Center,
16:20:21.252,GAZE_CHANGE,READING,Down,
16:20:21.286,GAZE_CHANGE,READING,Center,
16:20:21.348,GAZE_CHANGE,READING,Left,
16:20:21.410,GAZE_CHANGE,READING,Down,
16:20:21.946,TIMER_STOP,READING,Blinking,1.51
16:20:22.988,GAZE_CHANGE,READING,Center,
16:20:23.758,TIMER_START,READING,Right,0.0
16:20:23.758,GAZE_CHANGE,READING,Right,
16:20:23.828,GAZE_CHANGE,READING,Center,
16:20:24.238,GAZE_CHANGE,READING,Down,
16:20:24.704,GAZE_CHANGE,READING,Center,
16:20:24.803,TIMER_STOP,READING,Blinking,1.05
16:20:25.444,TIMER_START,READING,Right,0.0
16:20:25.444,GAZE_CHANGE,READING,Right,
16:20:25.588,GAZE_CHANGE,READING,Center,
16:20:25.716,GAZE_CHANGE,READING,Right,
16:20:26.662,TIMER_STOP,READING,Blinking,1.22
16:20:27.733,TIMER_START,READING,Up,0.0
16:20:27.733,GAZE_CHANGE,READING,Up,
16:20:27.764,GAZE_CHANGE,READING,Right,
16:20:27.828,GAZE_CHANGE,READING,Left,
16:20:27.859,GAZE_CHANGE,READING,Right,
16:20:27.888,GAZE_CHANGE,READING,Up,
16:20:27.941,GAZE_CHANGE,READING,Down,
16:20:27.973,GAZE_CHANGE,READING,Left,
16:20:28.002,GAZE_CHANGE,READING,Right,
16:20:28.193,GAZE_CHANGE,READING,Center,
16:20:28.224,GAZE_CHANGE,READING,Right,
16:20:28.275,GAZE_CHANGE,READING,Up,
16:20:30.328,STATUS_CHANGE,NO READER,Center,
16:20:30.328,GAZE_CHANGE,NO READER,Center,
16:20:30.347,GAZE_CHANGE,NO READER,Down,
16:20:30.363,GAZE_CHANGE,NO READER,Up,
16:20:30.385,GAZE_CHANGE,NO READER,Right,
16:20:30.552,GAZE_CHANGE,NO READER,Up,
16:20:31.154,TIMER_STOP,NO READER,Blinking,3.42
16:20:31.154,STATUS_CHANGE,READING,Blinking,
16:20:32.802,GAZE_CHANGE,READING,Center,
