Timestamp,Event,Status,Gaze_Direction,Timer_Duration
10:07:07.590,STATUS_CHANGE,Initializing...,Center,
10:07:07.590,GAZE_CHANGE,Initializing...,Center,
10:07:08.108,STATUS_CHANGE,READING,Center,
10:08:20.954,TIMER_START,READING,Up,0.0
10:08:20.954,GAZE_CHANGE,READING,Up,
10:08:21.024,GAZE_CHANGE,READING,Center,
10:08:21.521,TIMER_STOP,READING,Blinking,0.57
10:10:42.155,TIMER_START,READING,Right,0.0
10:10:42.155,GAZE_CHANGE,READING,Right,
10:10:42.984,STATUS_CHANGE,NO READER,Right,
10:10:43.149,GAZE_CHANGE,NO READER,Down,
10:10:43.717,TIMER_STOP,NO READER,Blinking,1.56
10:10:43.717,STATUS_CHANGE,READING,Blinking,
10:10:43.887,GAZE_CHANGE,READING,Center,
10:10:44.340,TIMER_START,READING,Right,0.0
10:10:44.340,GAZE_CHANGE,READING,Right,
10:10:44.788,STATUS_CHANGE,NO READER,Right,
10:10:47.352,STATUS_CHANGE,STOPPED READING,Right,
10:10:55.573,TIMER_STOP,STOPPED READING,Center,11.23
10:10:55.573,STATUS_CHANGE,READING,Center,
10:10:55.573,GAZE_CHANGE,READING,Center,
10:11:05.236,TIMER_START,READING,Right,0.0
10:11:05.236,GAZE_CHANGE,READING,Right,
10:11:05.580,GAZE_CHANGE,READING,Center,
10:11:05.655,GAZE_CHANGE,READING,Right,
10:11:05.728,GAZE_CHANGE,READING,Center,
10:11:05.759,GAZE_CHANGE,READING,Right,
10:11:06.072,GAZE_CHANGE,READING,Center,
10:11:06.100,GAZE_CHANGE,READING,Right,
10:11:06.152,GAZE_CHANGE,READING,Center,
10:11:06.669,TIMER_STOP,READING,Blinking,1.43
10:11:54.752,TIMER_START,READING,Up,0.0
10:11:54.752,GAZE_CHANGE,READING,Up,
10:11:54.785,GAZE_CHANGE,READING,Left,
10:11:54.854,GAZE_CHANGE,READING,Center,
10:11:55.013,GAZE_CHANGE,READING,Left,
10:11:55.557,GAZE_CHANGE,READING,Center,
10:11:56.072,TIMER_STOP,READING,Blinking,1.32
